Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
fri,81,흑미밥,돈육김치찌개,오징어까스타르타르s,쫄면야채무침,땅콩우엉조림,열무김치,숭늉,
mon,61,잡곡밥,소고기국밥미니소면,감자야채전,견과류멸치볶음,김가루대파무침,깍두기,약과,
tue,177,차조밥,북어채계란국,고추장불고기,야채고로케케찹,오이부추겉절이,배추김치,오미자차,
wed,170,강낭콩밥,참치김치찌개,비엔나브로콜리볶음,사각어묵조림,치커리유자생채,양념깻잎지,바나나,
mon,150,완두콩밥,떡만두국,짜장소스,칠리표고탕수육,단무지무침,배추김치,비피더스,
wed,62,잡곡밥,순대국밥,오징어초무침,야채부추전,오이고추된장무침,깍두기,요구르트,
fri,119,차조밥,김치공나물국,크리미어니언치킨까스,가지마파소스볶음,마카로니샐러드,배추김치,오미자차,
mon,129,완두콩밥,뜨끈어묵국,순살야채찜닭,국물떡볶이,모듬튀김,배추김치,그린샐러드키위D,
tue,83,흑미밥,돈등뼈감자탕,한식잡채,단호박견과찜,부추양파겉절이,깍두기,두유,
wed,64,잡곡밥,맑은소고기무국,비빔메밀국수,군만두,연근땅콩조림,배추김치,약과수정과,
fri,145,차조밥,얼큰 오징어무국,비엔나소시지떡볶음,우엉튀김조림,샐러드스파게티,배추김치,밤만쥬,
mon,123,보리열무비빔밥,청양초된장찌개,청양초된장찌개,볶음고추장,맛김가루,포기김치,요플레,
tue,110,완두콩밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,단무지부추무침,포기김치,만다린샐러드,
wed,54,미니쌀밥,바지락칼국수,단호박고구마튀김,김치고기찐만두,무양파장아찌,포기김치,미숫가루,
mon,153,차조밥,새알심미역국,콩나물불고기,스크램블에그,양배추쌈양념장,배추김치,오미자차,
tue,103,강낭콩밥,꽃게된장국,뼈없는안동찜닭,매운어묵,오이부추무침,포기김치,숭늉,
wed,129,흑미밥,돈육고추장찌개,동그랑땡전,두부무조림,푸실리샐러드,포기김치,석류차,
thu,79,완두콩밥,소고기무국,해물볶음우동,탕수만두,모듬콩조림,포기김치,그린샐러드,
fri,47,쌀밥,영양닭죽,오징어김치전,모듬야채스틱쌈장,,깍두기,안흥찐빵,
mon,136,차조밥,얼큰콩나물국,제육간장불고기,한식잡채,배추겉절이,고추마늘장아찌,콘슬로우,
tue,128,완두콩밥,모듬어묵국,브로콜리카레소스,치킨까스샐러드허니머스타드S,야채비빔만두,포기김치,숭늉,
wed,78,흑미밥,순두부찌개,돈육장조림,깻잎멸치볶음,꽃맛살샐러드,포기김치,매실차,
thu,88,강낭콩밥,호박수제비국,닭살데리야끼조림,매콤감자조림,무생채,포기김치,식혜,
fri,60,소시지오므라이스소스,두부미역장국,푸실리샐러드,수제피클,,포기김치,마늘빵,
mon,187,차조밥,시락국,제육볶음,온두부양념장,오이양파무침,볶음김치,귤,
tue,134,검정콩밥,맑은미역국,매운돈갈비찜,부들계란찜,배추겉절이,고추마늘장아찌,숭늉,
wed,123,흑미밥,순대국밥미니소면,사각어묵볶음,모듬야채스틱쌈장,부추양파무침,깍두기,요구르트,
thu,89,완두콩밥,크림스프,등심돈까스소스,토마토스파게티,수제피클,포기김치,식빵러스크,
